ID,type,statement_count,statements,sequential_edges,true_edges,false_edges,back_edges,break_edges
0,sequential,1,Entry,1,,,,
1,sequential,3,Account accounts[MAX_ACCOUNTS] ; | int count = 0 ; | int choice = -1 ;,2,,,,
2,loop check,1,while (choice != 0),,3,,,
3,sequential,16,"printf(""\n=== BANK MANAGEMENT SYSTEM ===\n"") ; | printf(""1. Add New Account\n"") ; | printf(""2. Delete Account\n"") ; | printf(""3. Deposit\n"") ; | printf(""4. Withdraw\n"") ; | printf(""5. Transfer\n"") ; | printf(""6. Display Account\n"") ; | printf(""7. Display All Accounts\n"") ; | printf(""8. Apply Interest\n"") ; | printf(""9. Monthly Statement\n"") ; | printf(""0. Exit\n"") ; | printf(""Enter your choice: "") ; | scanf(""%d"", &choice) ; | int acc_no, i, j ; | double amount ; | char temp[100] ;",4,,,,
4,switch start,1,switch(choice),6 | 15 | 33 | 48 | 69 | 93 | 108 | 115 | 122 | 129 | 133,5,,,
5,sequential,0,,,,,,
6,case_block,1,case 1:,7,,,,
7,conditional check,1,if(count >= MAX_ACCOUNTS),,8,11,,
8,sequential,1,"printf(""Maximum accounts reached!\n"") ;",9,,,,
9,sequential,1,break ;,,,,,135
10,sequential,0,,11,,,,
11,sequential,14,"accounts[count].acc_no = count + 1 ; | printf(""Enter Name: "") ; | scanf("" %[^\n]"", accounts[count].name) ; | printf(""Enter Address: "") ; | scanf("" %[^\n]"", accounts[count].address) ; | printf(""Enter Phone: "") ; | scanf("" %[^\n]"", accounts[count].phone) ; | printf(""Enter Email: "") ; | scanf("" %[^\n]"", accounts[count].email) ; | printf(""Enter Account Type (Savings/Current): "") ; | scanf(""%s"", accounts[count].type) ; | accounts[count].balance = 0.0 ; | printf(""Account created! Account Number: %d\n"", accounts[count].acc_no) ; | count++ ;",12,,,,
12,sequential,1,break ;,,,,,135
13,sequential,0,,14,,,,
14,sequential,0,,,,,,
15,case_block,3,"case 2: | printf(""Enter Account Number to delete: "") ; | scanf(""%d"", &acc_no) ;",16,,,,
16,loop check,1,for(i=0 ;i<count ;i++),,17,,,
17,sequential,0,,18,,,,
18,conditional check,1,if(accounts[i].acc_no == acc_no),,19,25,,
19,sequential,0,,20,,,,
20,loop check,1,for(j=i ;j<count-1 ;j++),,21,,,
21,sequential,1,accounts[j] = accounts[j+1] ;,22,,,20,
22,sequential,2,"count-- ; | printf(""Account %d deleted.\n"", acc_no) ;",23,,,,
23,sequential,1,break ;,,,,,26
24,sequential,0,,25,,,,
25,sequential,0,,26,,,16,
26,sequential,0,,27,,,,
27,conditional check,1,if(i==count),,28,29,,
28,sequential,1,"printf(""Account not found!\n"") ;",29,,,,
29,sequential,0,,30,,,,
30,sequential,1,break ;,,,,,135
31,sequential,0,,32,,,,
32,sequential,0,,,,,,
33,case_block,5,"case 3: | printf(""Enter Account Number to deposit: "") ; | scanf(""%d"", &acc_no) ; | printf(""Enter Amount: "") ; | scanf(""%lf"", &amount) ;",34,,,,
34,loop check,1,for(i=0 ;i<count ;i++),,35,,,
35,sequential,0,,36,,,,
