Iteration,BlockID,gen[B],kill[B],in[B],out[B]
1,0,{},{},{},{}
1,1,"{D1, D2}",{},{},"{D1, D2}"
1,2,{},{},"{D1, D2}","{D1, D2}"
1,3,{},{},"{D1, D2}","{D1, D2}"
1,4,{},{},"{D1, D2}","{D1, D2}"
1,5,{},{},"{D1, D2}","{D1, D2}"
1,6,{},{},"{D1, D2}","{D1, D2}"
1,7,{},{},"{D1, D2}","{D1, D2}"
1,8,{},{},"{D1, D2}","{D1, D2}"
1,9,{},{},"{D1, D2}","{D1, D2}"
1,10,{},{},{},{}
1,11,"{D3, D4}",{},"{D1, D2}","{D1, D2, D3, D4}"
1,12,{},{},"{D1, D2, D3, D4}","{D1, D2, D3, D4}"
1,13,{},{},{},{}
1,14,{},{},{},{}
1,15,{},{},"{D1, D2}","{D1, D2}"
1,16,{},{},"{D1, D2}","{D1, D2}"
1,17,{},{},"{D1, D2}","{D1, D2}"
1,18,{},{},"{D1, D2}","{D1, D2}"
1,19,{},{},"{D1, D2}","{D1, D2}"
1,20,{},{},"{D1, D2}","{D1, D2}"
1,21,{D5},{},"{D1, D2}","{D1, D2, D5}"
1,22,{},{},"{D1, D2, D5}","{D1, D2, D5}"
1,23,{},{},"{D1, D2, D5}","{D1, D2, D5}"
1,24,{},{},{},{}
1,25,{},{},"{D1, D2}","{D1, D2}"
1,26,{},{},"{D1, D2, D5}","{D1, D2, D5}"
1,27,{},{},"{D1, D2, D5}","{D1, D2, D5}"
1,28,{},{},"{D1, D2, D5}","{D1, D2, D5}"
1,29,{},{},"{D1, D2, D5}","{D1, D2, D5}"
1,30,{},{},"{D1, D2, D5}","{D1, D2, D5}"
1,31,{},{},{},{}
1,32,{},{},{},{}
1,33,{},{},"{D1, D2}","{D1, D2}"
1,34,{},{},"{D1, D2}","{D1, D2}"
1,35,{},{},"{D1, D2}","{D1, D2}"
1,36,{},{},"{D1, D2}","{D1, D2}"
1,37,{},{},"{D1, D2}","{D1, D2}"
1,38,{},{},"{D1, D2}","{D1, D2}"
1,39,{},{},{},{}
1,40,{},{},"{D1, D2}","{D1, D2}"
1,41,{},{},"{D1, D2}","{D1, D2}"
1,42,{},{},"{D1, D2}","{D1, D2}"
1,43,{},{},"{D1, D2}","{D1, D2}"
1,44,{},{},"{D1, D2}","{D1, D2}"
1,45,{},{},"{D1, D2}","{D1, D2}"
1,46,{},{},{},{}
1,47,{},{},{},{}
1,48,{},{},"{D1, D2}","{D1, D2}"
1,49,{},{},"{D1, D2}","{D1, D2}"
1,50,{},{},"{D1, D2}","{D1, D2}"
1,51,{},{},"{D1, D2}","{D1, D2}"
1,52,{},{},"{D1, D2}","{D1, D2}"
1,53,{},{},"{D1, D2}","{D1, D2}"
1,54,{},{},"{D1, D2}","{D1, D2}"
1,55,{},{},"{D1, D2}","{D1, D2}"
1,56,{},{},"{D1, D2}","{D1, D2}"
1,57,{},{},"{D1, D2}","{D1, D2}"
1,58,{},{},"{D1, D2}","{D1, D2}"
1,59,{},{},"{D1, D2}","{D1, D2}"
1,60,{},{},{},{}
1,61,{},{},"{D1, D2}","{D1, D2}"
1,62,{},{},"{D1, D2}","{D1, D2}"
1,63,{},{},"{D1, D2}","{D1, D2}"
1,64,{},{},"{D1, D2}","{D1, D2}"
1,65,{},{},"{D1, D2}","{D1, D2}"
1,66,{},{},"{D1, D2}","{D1, D2}"
1,67,{},{},{},{}
1,68,{},{},{},{}
1,69,{D6},{D7},"{D1, D2}","{D1, D2, D6}"
1,70,{},{},"{D1, D2, D6}","{D1, D2, D6}"
1,71,{},{},"{D1, D2, D6}","{D1, D2, D6}"
1,72,{},{},"{D1, D2, D6}","{D1, D2, D6}"
1,73,{D7},{D6},"{D1, D2, D6}","{D1, D2, D7}"
1,74,{},{},"{D1, D2, D6, D7}","{D1, D2, D6, D7}"
1,75,{},{},"{D1, D2, D6, D7}","{D1, D2, D6, D7}"
1,76,{D8},{},"{D1, D2, D6, D7}","{D1, D2, D6, D7, D8}"
1,77,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,78,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,79,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,80,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,81,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,82,{},{},{},{}
1,83,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,84,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,85,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,86,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,87,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,88,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,89,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,90,{},{},"{D1, D2, D6, D7, D8}","{D1, D2, D6, D7, D8}"
1,91,{},{},{},{}
1,92,{},{},{},{}
1,93,{},{},"{D1, D2}","{D1, D2}"
1,94,{},{},"{D1, D2}","{D1, D2}"
1,95,{},{},"{D1, D2}","{D1, D2}"
1,96,{},{},"{D1, D2}","{D1, D2}"
1,97,{},{},"{D1, D2}","{D1, D2}"
1,98,{},{},"{D1, D2}","{D1, D2}"
1,99,{},{},{},{}
1,100,{},{},"{D1, D2}","{D1, D2}"
1,101,{},{},"{D1, D2}","{D1, D2}"
1,102,{},{},"{D1, D2}","{D1, D2}"
1,103,{},{},"{D1, D2}","{D1, D2}"
1,104,{},{},"{D1, D2}","{D1, D2}"
1,105,{},{},"{D1, D2}","{D1, D2}"
1,106,{},{},{},{}
1,107,{},{},{},{}
1,108,{},{},"{D1, D2}","{D1, D2}"
1,109,{},{},"{D1, D2}","{D1, D2}"
1,110,{},{},"{D1, D2}","{D1, D2}"
1,111,{},{},"{D1, D2}","{D1, D2}"
1,112,{},{},"{D1, D2}","{D1, D2}"
1,113,{},{},{},{}
1,114,{},{},{},{}
1,115,{},{},"{D1, D2}","{D1, D2}"
1,116,{},{},"{D1, D2}","{D1, D2}"
1,117,{},{},"{D1, D2}","{D1, D2}"
1,118,{},{},"{D1, D2}","{D1, D2}"
1,119,{},{},"{D1, D2}","{D1, D2}"
1,120,{},{},{},{}
1,121,{},{},{},{}
1,122,{},{},"{D1, D2}","{D1, D2}"
1,123,{},{},"{D1, D2}","{D1, D2}"
1,124,{},{},"{D1, D2}","{D1, D2}"
1,125,{},{},"{D1, D2}","{D1, D2}"
1,126,{},{},"{D1, D2}","{D1, D2}"
1,127,{},{},{},{}
1,128,{},{},{},{}
1,129,{},{},"{D1, D2}","{D1, D2}"
1,130,{},{},"{D1, D2}","{D1, D2}"
1,131,{},{},{},{}
1,132,{},{},{},{}
1,133,{},{},"{D1, D2}","{D1, D2}"
1,134,{},{},"{D1, D2}","{D1, D2}"
1,135,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
1,136,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
1,137,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,0,{},{},{},{}
2,1,"{D1, D2}",{},{},"{D1, D2}"
2,2,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,3,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,4,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,5,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,6,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,7,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,8,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,9,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,10,{},{},{},{}
2,11,"{D3, D4}",{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,12,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,13,{},{},{},{}
2,14,{},{},{},{}
2,15,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,16,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,17,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,18,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,19,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,20,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,21,{D5},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,22,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,23,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,24,{},{},{},{}
2,25,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,26,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,27,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,28,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
2,29,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
