ID,type,statement_count,statements,sequential_edges,true_edges,false_edges,back_edges,break_edges
0,sequential,1,Entry,1,,,,
1,sequential,7,"int n, choice = -1, i, j, temp, key, k, repeat ; | int arr[100] ; | srand(time(NULL)) ; | printf(""Enter number of elements (max 100): "") ; | scanf(""%d"", &n) ; | printf(""Choose input method:\n1. Enter manually\n2. Generate randomly\n"") ; | scanf(""%d"", &choice) ;",2,,,,
2,conditional check,1,if (choice == 1),,3,7,,
3,sequential,0,,4,,,,
4,loop check,1,for (i = 0 ;i < n ;i++),,5,,,
5,sequential,2,"printf(""Enter element %d: "", i + 1) ; | scanf(""%d"", &arr[i]) ;",6,,,4,
6,sequential,0,,7,,,,
7,sequential,0,,8,,,,
8,else branch,1,else,9,,,,
9,sequential,0,,10,,,,
10,loop check,1,for (i = 0 ;i < n ;i++),,11,,,
11,sequential,1,arr[i] = rand() % 1000 ;,12,,,10,
12,sequential,1,"printf(""Random array generated:\n"") ;",13,,,,
13,loop check,1,for (i = 0 ;i < n ;i++),,14,,,
14,sequential,1,"printf(""%d "", arr[i]) ;",15,,,13,
15,sequential,1,"printf(""\n"") ;",16,,,,
16,sequential,1,choice = -1 ;,17,,,,
17,loop check,1,while (choice != 0),,18,,,
18,sequential,15,"printf(""\n=== Sorting & Searching Suite ===\n"") ; | printf(""1. Bubble Sort\n"") ; | printf(""2. Insertion Sort\n"") ; | printf(""3. Merge Sort\n"") ; | printf(""4. Quick Sort\n"") ; | printf(""5. Linear Search\n"") ; | printf(""6. Binary Search\n"") ; | printf(""7. Print Array\n"") ; | printf(""8. Count Inversions\n"") ; | printf(""9. Find kth Largest / Smallest\n"") ; | printf(""10. Reverse Array\n"") ; | printf(""11. Shuffle Array\n"") ; | printf(""0. Exit\n"") ; | printf(""Enter choice: "") ; | scanf(""%d"", &choice) ;",19,,,,
19,conditional check,1,if (choice == 1),,20,30,,
20,sequential,0,,21,,,,
21,loop check,1,for (i = 0 ;i < n - 1 ;i++),,22,,,
22,sequential,0,,23,,,,
23,loop check,1,for (j = 0 ;j < n - i - 1 ;j++),,24,,,
24,sequential,0,,25,,,,
25,conditional check,1,if (arr[j] > arr[j + 1]),,26,27,,
26,sequential,3,temp = arr[j] ; | arr[j] = arr[j + 1] ; | arr[j + 1] = temp ;,27,,,,
27,sequential,0,,28,,,23,
28,sequential,0,,29,,,21,
29,sequential,1,"printf(""Array sorted using Bubble Sort.\n"") ;",30,,,,
30,sequential,0,,31,,,,
31,conditional check,1,else if (choice == 2),,32,39,,
32,sequential,0,,33,,,,
33,loop check,1,for (i = 1 ;i < n ;i++),,34,,,
34,sequential,2,temp = arr[i] ; | j = i - 1 ;,35,,,,
35,loop check,1,while (j >= 0 && arr[j] > temp),,36,,,
36,sequential,2,arr[j + 1] = arr[j] ; | j-- ;,37,,,35,
37,sequential,1,arr[j + 1] = temp ;,38,,,33,
38,sequential,1,"printf(""Array sorted using Insertion Sort.\n"") ;",39,,,,
39,sequential,0,,40,,,,
40,conditional check,1,else if (choice == 3),,41,72,,
41,sequential,2,"int width, left, right, mid, l, r ; | int temp_arr[100] ;",42,,,,
42,loop check,1,for (width = 1 ;width < n ;width *= 2),,43,,,
43,sequential,0,,44,,,,
44,loop check,1,for (i = 0 ;i < n ;i += 2 * width),,45,,,
45,sequential,3,left = i ; | mid = i + width - 1 ; | right = i + 2 * width - 1 ;,46,,,,
46,conditional check,1,if (mid >= n),,47,48,,
47,sequential,1,mid = n - 1 ;,48,,,,
48,sequential,0,,49,,,,
49,conditional check,1,if (right >= n),,50,51,,
50,sequential,1,right = n - 1 ;,51,,,,
51,sequential,3,l = left ; | r = mid + 1 ; | j = left ;,52,,,,
52,loop check,1,while (l <= mid && r <= right),,53,,,
53,sequential,0,,54,,,,
54,conditional check,1,if (arr[l] <= arr[r]),,55,56,,
55,sequential,1,temp_arr[j++] = arr[l++] ;,56,,,,
56,sequential,0,,57,,,,
57,else branch,1,else,58,,,,
58,sequential,1,temp_arr[j++] = arr[r++] ;,59,,,,
59,sequential,0,,60,,,52,
60,sequential,0,,61,,,,
61,loop check,1,while (l <= mid),,62,,,
62,sequential,1,temp_arr[j++] = arr[l++] ;,63,,,61,
63,sequential,0,,64,,,,
64,loop check,1,while (r <= right),,65,,,
65,sequential,1,temp_arr[j++] = arr[r++] ;,66,,,64,
66,sequential,0,,67,,,,
67,loop check,1,for (j = left ;j <= right ;j++),,68,,,
68,sequential,1,arr[j] = temp_arr[j] ;,69,,,67,
69,sequential,0,,70,,,44,
70,sequential,0,,71,,,42,
71,sequential,1,"printf(""Array sorted using Merge Sort.\n"") ;",72,,,,
72,sequential,0,,73,,,,
73,conditional check,1,else if (choice == 4),,74,90,,
74,sequential,3,"int stack[100], top = -1, low, high, pivot, p ; | stack[++top] = 0 ; | stack[++top] = n - 1 ;",75,,,,
75,loop check,1,while (top >= 0),,76,,,
76,sequential,4,high = stack[top--] ; | low = stack[top--] ; | pivot = arr[high] ; | i = low - 1 ;,77,,,,
77,loop check,1,for (j = low ;j <= high - 1 ;j++),,78,,,
78,sequential,0,,79,,,,
79,conditional check,1,if (arr[j] < pivot),,80,81,,
80,sequential,4,i++ ; | temp = arr[i] ; | arr[i] = arr[j] ; | arr[j] = temp ;,81,,,,
81,sequential,0,,82,,,77,
82,sequential,4,temp = arr[i + 1] ; | arr[i + 1] = arr[high] ; | arr[high] = temp ; | p = i + 1 ;,83,,,,
83,conditional check,1,if (p - 1 > low),,84,85,,
84,sequential,2,stack[++top] = low ; | stack[++top] = p - 1 ;,85,,,,
85,sequential,0,,86,,,,
86,conditional check,1,if (p + 1 < high),,87,88,,
87,sequential,2,stack[++top] = p + 1 ; | stack[++top] = high ;,88,,,,
88,sequential,0,,89,,,75,
89,sequential,1,"printf(""Array sorted using Quick Sort.\n"") ;",90,,,,
90,sequential,0,,91,,,,
91,conditional check,1,else if (choice == 5),,92,107,,
92,sequential,3,"printf(""Enter key to search: "") ; | scanf(""%d"", &key) ; | int found = 0 ;",93,,,,
93,loop check,1,for (i = 0 ;i < n ;i++),,94,,,
94,sequential,0,,95,,,,
95,conditional check,1,if (arr[i] == key),,96,99,,
96,sequential,1,found = 1 ;,97,,,,
97,sequential,1,break ;,,,,,100
98,sequential,0,,99,,,,
99,sequential,0,,100,,,93,
100,sequential,0,,101,,,,
101,conditional check,1,if (found),,102,103,,
102,sequential,1,"printf(""Key %d found at index %d.\n"", key, i) ;",103,,,,
103,sequential,0,,104,,,,
104,else branch,1,else,105,,,,
105,sequential,1,"printf(""Key %d not found.\n"", key) ;",106,,,,
106,sequential,0,,107,,,,
107,sequential,0,,108,,,,
108,conditional check,1,else if (choice == 6),,109,130,,
